r,g,b,RGB,Spanish,EN_ES,Russian,EN_RU,German,EN_DE,French,EN_FR,Chinese,EN_ZH,Italian,EN_IT,Korean,EN_KO,Japanese,EN_JA,name,short_name,med_name,cx,cy
0,1,91,191,Azul,Blue,темно синий,Dark Blue,dunkelblau,Dark Blue,bleu nuit,Midnight Blue,藍色,Blue,blu scuro,Blue,파란색,Blue,青,Blue,Very Very Dark Blue,Navy,Navy Blue,284.0496433,237.4107054
0,14,56,1456,azul negro,Black Blue,темно-синий,Dark Blue,dunkelblau,Dark Blue,bleu nuit foncé,Dark Blue Night,黑色,Black,Nero perla,Blue,곤색,Navy,濃い青,Dark Blue,Midnight Black,Navy,Boatneck Blue,283.0089155,275.8110119
2,0,40,2040,Negro,Black,темно-синий,Dark Blue,schwarz,Black,noir,Black,黑色,Black,blu scuro,Dark Blue,검정,Black,ブラック,Black,Night Over The Sea,Black,Underblue,292.6491036,296.0572707
0,220,2,2202,verde,Green,Зелёный,Green,leuchtend hellgrün,Bright Green Light,vert,Green,绿,Green,verde,Green,녹색,Green,黄緑,Yellow-green,Briliant Key Lime,Lime,Bright Green,232.4748511,440.4448507
0,27,23,2723,negro,Black,чёрный,Black,dunkel petrol,Dark Petrol,noire,Black,黑色,Black,nero,Black,검은색,Black,黒,Black,Midnight Forest,Black,Black,317.6653173,254.8236683
2,8,91,2891,azul oscuro,Dark Blue,темно-синий,Dark Blue,blau,Blue,bleu,Blue,深蓝色,Navy Blue,Blu,Blue,푸른색,Blue,濃い青,Dark Blue,Dark Navy Blue,Navy,Navy Blue,280.0853394,244.5422435
2,94,4,2944,verde,Fluorescent Green,зелёный,Green,grün,Green,vert,Green,綠色,Green,verde,Green,매우짙은녹색,Very dark green,緑色,Green,Woodsman Green,Green,Forest Green,273.7825782,320.0687606
5,76,0,5760,verde oscuro,Dark Green,темно-зеленый,Dark Green,grasgrün,Grass Green,vert,Green,绿色,Green,olive,Green,녹색,Green,緑色,Green,Asparagus Green,Olive,Olive,297.720991,310.5998462
83,4,7,8347,granate,Garnet,Коричневый,Brown,rotbraun,Maroon,marron,Brown,褐色,Brown,marrone,Brown,갈색,Brown,茶色,Brown,Rich Chocolate,Brown,Blood,372.7879217,281.0686682
0,96,20,9620,verde,Green,Тёмно-зелёный сочный,Dark Green Succulent,grün,Green,vert,Green,草色,Grass,verde scuro,Green,진녹색,Dark green,ダークグリーン,Dark Green,Light Hunter Green,Evergreen,Hunter Green,280.6817728,321.4361751
9,75,5,9755,verde musgo,Moss Green,темно-зеленый,Dark Green,dunkelgrün,Dark Green,vert très foncé,Very Dark Green,绿色,Green,verde,Green,녹색,Green,深緑,Dark green,Buckingham Green,Green,Pine Green,286.5954626,311.1650109
